variance_scenario	perf_var	compet_fun	nonlin	tot_variance	var_beta	var_intra	var_env	var_it	totvar	br	r	sp_beta1_1	sp_beta1_2	sp_beta2_1	sp_beta2_2	sp_beta3_1	sp_beta3_2	sp_beta4_1	sp_beta4_2	sp_beta5_1	sp_beta5_2	sp_beta6_1	sp_beta6_2	sp_beta7_1	sp_beta7_2	sp_beta8_1	sp_beta8_2	sp_beta9_1	sp_beta9_2	sp_beta10_1	sp_beta10_2	sp_beta11_1	sp_beta11_2	sp_beta12_1	sp_beta12_2	sp_beta13_1	sp_beta13_2	sp_beta14_1	sp_beta14_2	sp_beta15_1	sp_beta15_2	sp_beta16_1	sp_beta16_2	sp_beta17_1	sp_beta18_2	sp_beta18_1	sp_beta18_2	sp_beta19_1	sp_beta19_2	sp_beta20_1	sp_beta20_2
Scen1a	fecundity	-	1	low	1.07783980006019	0	0	0	0.495545898956313	1	1	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1a	fecundity	-	1	low	1.07783980006019	0	0	0	0.495545898956313	1	2	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1a	fecundity	-	1	low	1.07783980006019	0	0	0	0.495545898956313	1	3	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1a	fecundity	-	1	low	1.07783980006019	0	0	0	0.495545898956313	1	4	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1a	fecundity	-	1	low	1.07783980006019	0	0	0	0.495545898956313	1	5	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1b	fecundity	-	1	low	1.07783980006019	0	0	0.5	0.995545898956313	1	1	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1b	fecundity	-	1	low	1.07783980006019	0	0	0.5	0.995545898956313	1	2	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1b	fecundity	-	1	low	1.07783980006019	0	0	0.5	0.995545898956313	1	3	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1b	fecundity	-	1	low	1.07783980006019	0	0	0.5	0.995545898956313	1	4	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
Scen1b	fecundity	-	1	low	1.07783980006019	0	0	0.5	0.995545898956313	1	5	0.425278388133426	2.82171611827982	-0.242888752811194	0.752387576678306	1.32796829675983	-0.0717047978883397	0.759000930799794	-0.949252619961168	0.133559568137257	-0.349211321341427	-1.72916438175001	-0.854582409600899	0.831343929889682	1.33267958900037	-1.73958215331164	-0.0427762822903411	-1.39429239007709	-0.715774401621268	-1.370062571778	0.984532073019169	-0.363768014598159	0.993862010895432	1.07333139578463	-0.546997810038257	0.0733675310211567	-0.229981986286807	0.150078364861897	0.872492770641764	0.827277736299595	-0.345716179962506	-0.179812376858001	0.572130224410741	1.21284396610204	0.288424957758082	-0.721111063963456	-0.459275764597977	1.39407491588229	-2.39643426383692	0.380177163495862	0.98783429788799
